Species,Sample,FSC-A,FSC-W,SSC-A,DAPI-A,DAPI-W
Chicken,CRBC_150127,761,259,669,228,910
Chicken,CRBC_150127,789,260,660,238,908
Chicken,CRBC_150127,746,264,666,235,909
Chicken,CRBC_150127,803,259,654,247,908
Chicken,CRBC_150127,801,256,641,245,909
Chicken,CRBC_150127,761,260,669,246,909
Chicken,CRBC_150127,807,258,625,232,909
Chicken,CRBC_150127,782,260,640,246,909
Chicken,CRBC_150127,769,257,674,239,910
Chicken,CRBC_150127,831,257,634,240,908
Chicken,CRBC_150127,767,257,663,233,909
Chicken,CRBC_150127,793,257,665,247,909
Chicken,CRBC_150127,802,256,642,250,909
Chicken,CRBC_150127,770,260,633,239,909
Chicken,CRBC_150127,777,260,634,239,908
Chicken,CRBC_150127,765,260,662,240,909
Chicken,CRBC_150127,810,259,606,235,908
Chicken,CRBC_150127,749,261,624,228,908
Chicken,CRBC_150127,766,261,656,239,909
Chicken,CRBC_150127,804,303,716,479,939
Chicken,CRBC_150127,758,261,686,252,909
Chicken,CRBC_150127,854,466,694,473,964
Chicken,CRBC_150127,797,260,657,234,909
Chicken,CRBC_150127,783,256,644,242,910
Chicken,CRBC_150127,805,257,647,240,909
Chicken,CRBC_150127,824,258,687,230,909
Chicken,CRBC_150127,798,260,648,231,908
Chicken,CRBC_150127,743,263,642,231,909
Chicken,CRBC_150127,775,259,667,225,908
Chicken,CRBC_150127,752,264,645,261,910
Chicken,CRBC_150127,786,258,633,234,909
Chicken,CRBC_150127,801,258,638,231,909
Chicken,CRBC_150127,771,262,642,251,909
Chicken,CRBC_150127,754,258,649,180,908
Chicken,CRBC_150127,811,258,650,230,908
Chicken,CRBC_150127,762,260,621,234,909
Chicken,CRBC_150127,797,260,636,245,909
Chicken,CRBC_150127,787,259,625,233,909
Chicken,CRBC_150127,777,259,662,243,909
Chicken,CRBC_150127,776,258,657,248,909
Chicken,CRBC_150127,802,258,638,248,909
Chicken,CRBC_150127,671,271,619,243,910
Chicken,CRBC_150127,824,256,663,245,909
Chicken,CRBC_150127,779,257,648,253,909
Chicken,CRBC_150127,703,268,638,246,909
Chicken,CRBC_150127,798,260,643,235,909
Chicken,CRBC_150127,743,266,667,249,910
Chicken,CRBC_150127,614,279,624,250,910
Chicken,CRBC_150127,766,261,632,239,910
Chicken,CRBC_150127,785,258,645,246,910
Chicken,CRBC_150127,772,261,683,242,909
Chicken,CRBC_150127,751,261,645,243,909
Chicken,CRBC_150127,767,259,660,240,909
Chicken,CRBC_150127,792,259,672,236,908
Chicken,CRBC_150127,775,259,636,233,908
Chicken,CRBC_150127,784,256,635,248,909
Chicken,CRBC_150127,792,258,648,245,908
Chicken,CRBC_150127,740,260,684,238,909
Chicken,CRBC_150127,789,258,661,251,909
Chicken,CRBC_150127,815,256,663,241,909
Chicken,CRBC_150127,803,258,662,234,909
Chicken,CRBC_150127,778,261,653,238,909
Chicken,CRBC_150127,764,261,630,222,908
Chicken,CRBC_150127,774,261,636,220,909
Chicken,CRBC_150127,761,262,689,234,908
Chicken,CRBC_150127,810,257,674,243,909
Chicken,CRBC_150127,767,259,670,245,909
Chicken,CRBC_150127,803,258,649,231,909
Chicken,CRBC_150127,775,260,613,229,909
Chicken,CRBC_150127,752,258,655,241,909
Chicken,CRBC_150127,815,258,674,237,909
Chicken,CRBC_150127,761,262,637,239,910
Chicken,CRBC_150127,843,258,597,243,908
Chicken,CRBC_150127,772,260,645,235,909
Chicken,CRBC_150127,820,258,616,236,909
Chicken,CRBC_150127,794,259,666,224,908
Chicken,CRBC_150127,799,259,690,227,908
Chicken,CRBC_150127,780,260,655,229,908
Chicken,CRBC_150127,820,258,664,238,909
Chicken,CRBC_150127,790,256,641,241,909
Chicken,CRBC_150127,808,257,631,244,908
Chicken,CRBC_150127,792,258,629,236,909
Chicken,CRBC_150127,728,260,643,211,910
Chicken,CRBC_150127,735,259,678,193,909
Chicken,CRBC_150127,784,259,664,215,908
Chicken,CRBC_150127,740,258,677,220,910
Chicken,CRBC_150127,674,254,617,85,909
Chicken,CRBC_150127,788,261,645,217,908
Chicken,CRBC_150127,769,257,636,240,910
Chicken,CRBC_150127,772,259,660,232,908
Chicken,CRBC_150127,776,261,618,229,908
Chicken,CRBC_150127,790,259,685,236,908
Chicken,CRBC_150127,784,258,596,222,910
Chicken,CRBC_150127,798,258,640,240,908
Chicken,CRBC_150127,789,258,596,229,909
Chicken,CRBC_150127,804,258,639,252,908
Chicken,CRBC_150127,776,258,702,247,909
Chicken,CRBC_150127,788,257,671,245,910
Chicken,CRBC_150127,770,260,650,227,908
Chicken,CRBC_150127,790,257,641,246,909
Chicken,CRBC_150127,780,257,628,232,908
Chicken,CRBC_150127,793,259,662,236,909
Chicken,CRBC_150127,818,258,661,236,908
Chicken,CRBC_150127,713,261,669,164,909
Chicken,CRBC_150127,756,261,627,238,909
Chicken,CRBC_150127,789,258,657,239,909
Chicken,CRBC_150127,776,256,642,155,908
Chicken,CRBC_150127,805,258,640,239,909
Chicken,CRBC_150127,777,259,667,251,909
Chicken,CRBC_150127,790,259,654,230,909
Chicken,CRBC_150127,788,259,660,240,909
Chicken,CRBC_150127,769,262,644,240,909
Chicken,CRBC_150127,754,258,642,229,909
Chicken,CRBC_150127,785,257,648,244,909
Chicken,CRBC_150127,764,258,689,238,909
Chicken,CRBC_150127,723,259,634,216,910
Chicken,CRBC_150127,775,259,667,237,908
Chicken,CRBC_150127,770,260,628,238,909
Chicken,CRBC_150127,793,257,650,240,908
Chicken,CRBC_150127,793,256,645,256,909
Chicken,CRBC_150127,771,261,612,235,908
Chicken,CRBC_150127,763,262,677,234,909
Chicken,CRBC_150127,814,257,637,233,909
Chicken,CRBC_150127,805,256,635,216,908
Chicken,CRBC_150127,805,257,705,234,909
Chicken,CRBC_150127,760,260,647,231,909
Chicken,CRBC_150127,772,258,652,231,909
Chicken,CRBC_150127,790,260,654,252,910
Chicken,CRBC_150127,711,267,705,244,911
Chicken,CRBC_150127,618,267,635,76,910
Chicken,CRBC_150127,785,259,680,239,908
Chicken,CRBC_150127,833,257,635,243,908
Chicken,CRBC_150127,781,258,639,245,909
Chicken,CRBC_150127,814,258,679,223,908
Chicken,CRBC_150127,770,259,650,246,909
Chicken,CRBC_150127,808,260,691,238,909
Chicken,CRBC_150127,762,259,657,233,909
Chicken,CRBC_150127,723,262,671,240,910
Chicken,CRBC_150127,757,261,637,245,909
Chicken,CRBC_150127,746,261,700,237,909
Chicken,CRBC_150127,801,258,647,244,908
Chicken,CRBC_150127,798,259,650,232,908
Chicken,CRBC_150127,756,260,646,249,909
Chicken,CRBC_150127,768,258,657,206,910
Chicken,CRBC_150127,774,260,674,236,908
Chicken,CRBC_150127,750,259,635,201,909
Chicken,CRBC_150127,822,259,606,238,908
Chicken,CRBC_150127,847,352,711,453,937
Chicken,CRBC_150127,824,258,638,233,908
Chicken,CRBC_150127,766,258,668,231,908
Chicken,CRBC_150127,797,257,664,233,908
Chicken,CRBC_150127,828,256,597,245,908
Chicken,CRBC_150127,787,257,640,239,909
Chicken,CRBC_150127,779,257,660,247,909
Chicken,CRBC_150127,830,257,639,258,909
Chicken,CRBC_150127,775,259,664,238,909
Chicken,CRBC_150127,779,261,659,251,910
Chicken,CRBC_150127,765,259,651,245,909
Chicken,CRBC_150127,771,257,683,236,909
Chicken,CRBC_150127,653,255,648,73,909
Chicken,CRBC_150127,772,260,668,241,909
Chicken,CRBC_150127,793,259,632,251,911
Chicken,CRBC_150127,808,257,625,245,908
Chicken,CRBC_150127,757,259,658,247,909
Chicken,CRBC_150127,769,259,656,239,909
Chicken,CRBC_150127,786,259,634,240,908
Chicken,CRBC_150127,816,258,653,239,909
Chicken,CRBC_150127,832,329,685,507,931
Chicken,CRBC_150127,796,257,669,228,909
Chicken,CRBC_150127,768,259,650,246,909
Chicken,CRBC_150127,757,261,609,224,910
Chicken,CRBC_150127,791,256,610,233,909
Chicken,CRBC_150127,747,258,625,234,908
Chicken,CRBC_150127,795,259,631,245,910
Chicken,CRBC_150127,655,268,697,167,910
Chicken,CRBC_150127,781,257,674,230,909
Chicken,CRBC_150127,774,258,637,245,909
Chicken,CRBC_150127,734,261,650,243,910
Chicken,CRBC_150127,788,259,634,241,908
Chicken,CRBC_150127,742,258,652,192,908
Chicken,CRBC_150127,789,261,632,246,909
Chicken,CRBC_150127,776,260,663,233,908
Chicken,CRBC_150127,826,257,678,237,909
Chicken,CRBC_150127,838,256,660,247,908
Chicken,CRBC_150127,774,258,655,238,910
Chicken,CRBC_150127,769,258,645,246,910
Chicken,CRBC_150127,728,261,632,243,910
Chicken,CRBC_150127,880,483,734,705,956
Chicken,CRBC_150127,771,258,646,235,908
Chicken,CRBC_150127,751,259,637,248,909
Chicken,CRBC_150127,764,261,652,239,910
Chicken,CRBC_150127,762,258,617,230,910
Chicken,CRBC_150127,800,258,629,237,910
Chicken,CRBC_150127,753,262,664,231,908
Chicken,CRBC_150127,813,257,648,254,908
Chicken,CRBC_150127,761,260,655,240,910
Chicken,CRBC_150127,766,259,666,234,909
Chicken,CRBC_150127,737,263,643,247,910
Chicken,CRBC_150127,789,258,635,241,908
Chicken,CRBC_150127,765,259,667,244,909
Chicken,CRBC_150127,613,260,615,30,919
Chicken,CRBC_150127,764,261,647,245,909
Chicken,CRBC_150127,802,260,645,232,909
Chicken,CRBC_150127,766,258,640,244,910
Chicken,CRBC_150127,819,259,635,230,908
Chicken,CRBC_150127,755,261,679,242,909
Chicken,CRBC_150127,811,259,646,248,909
Chicken,CRBC_150127,932,373,797,1023,916
Chicken,CRBC_150127,770,258,669,241,909
Chicken,CRBC_150127,827,257,647,242,909
Chicken,CRBC_150127,731,262,644,232,910
Chicken,CRBC_150127,770,258,650,238,908
Chicken,CRBC_150127,824,258,615,231,908
Chicken,CRBC_150127,777,259,608,241,908
Chicken,CRBC_150127,759,261,649,249,909
Chicken,CRBC_150127,818,256,628,261,909
Chicken,CRBC_150127,789,259,674,243,909
Chicken,CRBC_150127,784,258,647,232,910
Chicken,CRBC_150127,721,263,686,189,910
Chicken,CRBC_150127,817,257,621,239,908
Chicken,CRBC_150127,800,262,717,13,908
Chicken,CRBC_150127,754,261,632,224,909
Chicken,CRBC_150127,737,259,652,172,910
Chicken,CRBC_150127,778,258,660,244,909
Chicken,CRBC_150127,782,261,673,238,909
Chicken,CRBC_150127,751,261,653,244,909
Chicken,CRBC_150127,764,260,663,252,910
Chicken,CRBC_150127,835,257,613,248,909
Chicken,CRBC_150127,832,256,662,242,909
Chicken,CRBC_150127,799,258,645,248,908
Chicken,CRBC_150127,752,261,651,235,909
Chicken,CRBC_150127,757,261,626,218,909
Chicken,CRBC_150127,762,258,631,230,908
Chicken,CRBC_150127,725,264,630,233,910
Chicken,CRBC_150127,794,258,663,227,908
Chicken,CRBC_150127,702,267,682,250,910
Chicken,CRBC_150127,723,266,622,250,910
Chicken,CRBC_150127,640,273,658,246,912
Chicken,CRBC_150127,777,260,653,246,909
Chicken,CRBC_150127,834,506,726,466,964
Chicken,CRBC_150127,811,257,653,235,908
Chicken,CRBC_150127,782,257,655,230,908
Chicken,CRBC_150127,738,263,666,250,910
Chicken,CRBC_150127,762,261,664,242,909
Chicken,CRBC_150127,783,259,635,255,910
Chicken,CRBC_150127,853,298,707,464,926
Chicken,CRBC_150127,803,258,644,240,909
Chicken,CRBC_150127,759,258,661,242,909
Chicken,CRBC_150127,784,257,659,222,909
Chicken,CRBC_150127,807,257,646,240,909
Chicken,CRBC_150127,833,255,640,241,909
Chicken,CRBC_150127,792,258,626,241,909
Chicken,CRBC_150127,768,260,652,231,910
Chicken,CRBC_150127,779,259,658,235,909
Chicken,CRBC_150127,831,347,712,484,936
Chicken,CRBC_150127,809,258,638,242,909
Chicken,CRBC_150127,788,258,650,237,908
Chicken,CRBC_150127,817,256,605,228,909
Chicken,CRBC_150127,755,258,627,241,909
Chicken,CRBC_150127,761,258,646,238,908
Chicken,CRBC_150127,766,258,653,235,910
Chicken,CRBC_150127,801,258,667,230,909
Chicken,CRBC_150127,788,256,658,237,909
Chicken,CRBC_150127,824,257,693,240,909
Chicken,CRBC_150127,773,258,633,242,909
Chicken,CRBC_150127,795,258,654,230,909
Chicken,CRBC_150127,767,260,667,240,909
Chicken,CRBC_150127,759,257,646,211,909
Chicken,CRBC_150127,772,258,664,245,909
Chicken,CRBC_150127,782,258,622,244,909
Chicken,CRBC_150127,715,262,617,245,912
Chicken,CRBC_150127,764,259,632,218,909
Chicken,CRBC_150127,776,259,634,241,909
Chicken,CRBC_150127,735,260,651,228,909
Chicken,CRBC_150127,818,257,649,245,908
Chicken,CRBC_150127,740,259,659,243,909
Chicken,CRBC_150127,781,259,656,242,909
Chicken,CRBC_150127,747,259,628,243,909
Chicken,CRBC_150127,816,257,661,243,909
Chicken,CRBC_150127,792,259,666,244,908
Chicken,CRBC_150127,771,259,644,240,910
Chicken,CRBC_150127,797,256,645,246,909
Chicken,CRBC_150127,733,264,672,228,909
Chicken,CRBC_150127,737,248,651,218,909
Chicken,CRBC_150127,769,258,626,243,909
Chicken,CRBC_150127,805,258,611,231,908
Chicken,CRBC_150127,786,261,625,231,908
Chicken,CRBC_150127,719,256,655,179,909
Chicken,CRBC_150127,809,258,631,227,908
Chicken,CRBC_150127,753,260,641,248,909
Chicken,CRBC_150127,788,259,660,233,908
Chicken,CRBC_150127,799,257,657,238,910
Chicken,CRBC_150127,629,256,664,23,909
Chicken,CRBC_150127,670,269,572,0,882
Chicken,CRBC_150127,799,258,630,232,909
Chicken,CRBC_150127,810,256,682,235,910
Chicken,CRBC_150127,708,263,698,245,909
Chicken,CRBC_150127,818,257,623,236,908
Chicken,CRBC_150127,794,258,626,245,909
Chicken,CRBC_150127,737,262,680,239,910
Chicken,CRBC_150127,778,258,644,220,908
Chicken,CRBC_150127,726,259,677,198,910
Chicken,CRBC_150127,631,260,583,59,910
Chicken,CRBC_150127,796,258,644,240,908
Chicken,CRBC_150127,807,260,621,232,908
Chicken,CRBC_150127,748,258,661,242,909
Chicken,CRBC_150127,793,259,684,229,909
Chicken,CRBC_150127,807,259,648,231,909
Chicken,CRBC_150127,779,259,659,244,909
Chicken,CRBC_150127,789,260,672,231,909
Chicken,CRBC_150127,760,262,657,233,910
Chicken,CRBC_150127,826,350,703,462,943
Chicken,CRBC_150127,771,260,637,229,908
Chicken,CRBC_150127,829,256,638,235,908
Chicken,CRBC_150127,712,256,637,125,909
Chicken,CRBC_150127,713,262,666,235,911
Chicken,CRBC_150127,741,259,648,243,909
Chicken,CRBC_150127,766,258,621,240,909
Chicken,CRBC_150127,763,259,680,233,909
Chicken,CRBC_150127,777,259,634,244,910
Chicken,CRBC_150127,843,466,730,480,965
Chicken,CRBC_150127,696,258,645,133,908
Chicken,CRBC_150127,793,256,662,228,909
Chicken,CRBC_150127,744,263,631,244,910
Chicken,CRBC_150127,783,258,651,243,909
Chicken,CRBC_150127,741,261,658,239,910
Chicken,CRBC_150127,754,261,653,244,909
Chicken,CRBC_150127,778,257,630,239,909
Chicken,CRBC_150127,728,262,646,191,910
Chicken,CRBC_150127,814,258,626,226,908
Chicken,CRBC_150127,828,256,665,250,909
Chicken,CRBC_150127,809,258,625,236,908
Chicken,CRBC_150127,787,262,670,227,909
Chicken,CRBC_150127,755,259,660,228,908
Chicken,CRBC_150127,734,258,665,200,910
Chicken,CRBC_150127,832,255,630,244,908
Chicken,CRBC_150127,758,260,614,241,909
Chicken,CRBC_150127,799,257,676,247,909
Chicken,CRBC_150127,793,256,648,243,909
Chicken,CRBC_150127,761,258,676,248,909
Chicken,CRBC_150127,754,259,656,243,909
Chicken,CRBC_150127,710,261,649,218,909
Chicken,CRBC_150127,768,258,635,240,909
Chicken,CRBC_150127,753,262,699,238,909
Chicken,CRBC_150127,746,262,652,244,909
Chicken,CRBC_150127,784,258,646,239,909
Chicken,CRBC_150127,844,429,739,468,963
Chicken,CRBC_150127,798,259,681,251,909
Chicken,CRBC_150127,796,259,637,244,908
Chicken,CRBC_150127,771,259,625,244,909
Chicken,CRBC_150127,778,256,654,146,909
Chicken,CRBC_150127,850,493,694,482,965
Chicken,CRBC_150127,759,259,663,238,909
Chicken,CRBC_150127,861,366,722,486,963
Chicken,CRBC_150127,755,257,668,253,910
Chicken,CRBC_150127,732,261,635,223,910
Chicken,CRBC_150127,751,259,629,249,909
