Species,Sample,FSC-A,FSC-W,SSC-A,DAPI-A,DAPI-W
Chicken,CRBC_end_150213,790,262,654,214,909
Chicken,CRBC_end_150213,818,262,636,216,908
Chicken,CRBC_end_150213,772,261,649,214,908
Chicken,CRBC_end_150213,706,263,640,223,909
Chicken,CRBC_end_150213,766,259,642,193,908
Chicken,CRBC_end_150213,755,261,657,219,908
Chicken,CRBC_end_150213,748,259,606,211,908
Chicken,CRBC_end_150213,750,263,646,221,908
Chicken,CRBC_end_150213,801,258,652,198,907
Chicken,CRBC_end_150213,781,261,628,203,907
Chicken,CRBC_end_150213,833,261,652,231,908
Chicken,CRBC_end_150213,802,261,658,223,908
Chicken,CRBC_end_150213,743,264,613,220,909
Chicken,CRBC_end_150213,806,284,674,440,917
Chicken,CRBC_end_150213,738,262,607,210,909
Chicken,CRBC_end_150213,625,255,659,127,909
Chicken,CRBC_end_150213,672,259,644,159,909
Chicken,CRBC_end_150213,827,262,671,219,908
Chicken,CRBC_end_150213,787,261,636,234,909
Chicken,CRBC_end_150213,779,255,622,208,907
Chicken,CRBC_end_150213,788,259,652,218,908
Chicken,CRBC_end_150213,764,259,626,205,908
Chicken,CRBC_end_150213,783,262,673,233,908
Chicken,CRBC_end_150213,781,262,632,226,908
Chicken,CRBC_end_150213,785,261,605,231,908
Chicken,CRBC_end_150213,734,261,614,219,908
Chicken,CRBC_end_150213,826,397,678,446,964
Chicken,CRBC_end_150213,780,261,652,225,909
Chicken,CRBC_end_150213,802,265,654,266,913
Chicken,CRBC_end_150213,750,262,651,227,908
Chicken,CRBC_end_150213,790,260,654,114,907
Chicken,CRBC_end_150213,776,260,626,212,908
Chicken,CRBC_end_150213,763,260,650,189,908
Chicken,CRBC_end_150213,749,259,624,213,908
Chicken,CRBC_end_150213,771,257,613,191,907
Chicken,CRBC_end_150213,803,258,620,205,907
Chicken,CRBC_end_150213,755,260,620,216,908
Chicken,CRBC_end_150213,747,259,661,204,908
Chicken,CRBC_end_150213,805,489,706,457,964
Chicken,CRBC_end_150213,795,261,586,233,908
Chicken,CRBC_end_150213,762,260,607,225,909
Chicken,CRBC_end_150213,726,260,676,219,909
Chicken,CRBC_end_150213,758,261,616,226,909
Chicken,CRBC_end_150213,766,261,629,226,908
Chicken,CRBC_end_150213,725,258,627,205,908
Chicken,CRBC_end_150213,752,260,641,219,908
Chicken,CRBC_end_150213,783,262,648,212,909
Chicken,CRBC_end_150213,737,263,664,218,908
Chicken,CRBC_end_150213,766,263,648,230,909
Chicken,CRBC_end_150213,781,263,656,218,909
Chicken,CRBC_end_150213,758,260,626,214,909
