"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
611,262,576,0,0
700,281,714,0,842
720,264,638,200,909
657,270,684,6,909
717,293,663,213,912
808,262,717,0,0
720,271,679,10,916
597,314,560,0,0
579,291,641,197,914
616,257,520,0,791
645,260,511,182,909
831,281,670,5,912
779,260,492,4,906
745,262,635,183,909
575,265,481,0,0
577,235,559,0,0
642,382,572,0,0
612,243,631,0,0
895,284,818,34,913
592,281,665,7,911
614,257,532,0,0
649,262,537,0,0
697,263,632,0,0
872,333,881,2,928
595,259,533,0,0
588,251,547,1,910
777,263,646,0,848
666,278,554,353,912
772,301,801,10,913
672,399,755,15,938
776,265,664,1,891
644,258,584,0,0
793,261,634,3,907
755,257,645,0,796
658,260,574,0,0
626,256,529,0,0
762,259,629,0,0
712,265,688,0,888
590,252,562,1,892
634,268,549,0,0
727,265,697,3,903
579,252,636,0,0
845,266,762,21,911
698,262,512,1,908
606,279,558,194,910
592,266,596,1,908
648,258,731,3,904
678,265,643,192,910
586,254,620,0,0
622,270,538,200,910
621,257,481,0,880
643,290,630,3,908
713,261,645,185,908
673,384,684,518,944
631,257,622,0,0
598,256,509,0,766
652,268,684,0,0
625,255,494,0,0
699,260,581,0,0
689,262,575,0,0
799,259,688,0,0
640,268,539,197,909
613,270,511,3,912
604,251,579,1,901
585,242,503,0,900
623,275,579,0,747
713,273,590,191,910
673,264,517,194,909
629,272,557,177,910
699,258,695,1,880
611,269,516,164,913
676,266,626,0,834
791,262,721,0,889
660,270,464,188,909
656,275,606,198,911
604,277,572,200,911
683,261,585,0,0
579,259,482,1,892
646,277,797,3,914
664,261,571,0,0
613,268,544,0,871
609,258,536,0,861
658,265,541,0,846
664,282,609,210,910
616,280,618,195,911
686,296,569,200,909
598,279,624,7,909
634,266,552,0,0
626,258,685,6,909
664,263,618,5,912
779,266,675,6,908
604,265,588,0,782
687,262,528,190,909
634,259,699,0,891
664,268,601,371,911
705,275,650,191,910
695,257,599,0,822
681,258,570,0,0
596,258,523,0,892
608,269,612,0,773
785,261,583,6,905
734,259,611,1,913
570,277,519,0,0
808,263,745,0,806
630,259,637,0,776
743,638,761,0,0
605,271,623,183,912
578,394,699,3,942
737,260,718,0,0
667,281,561,379,912
602,251,518,0,0
679,259,648,0,0
838,267,732,8,909
769,260,639,0,806
635,259,555,0,0
610,260,520,0,0
578,256,507,0,0
612,267,567,178,910
648,264,627,0,0
624,263,608,0,0
830,287,870,1,913
624,267,492,201,909
682,261,597,191,910
673,261,596,0,0
585,255,569,0,0
596,260,514,0,0
765,261,543,5,910
683,308,671,6,925
584,256,529,0,805
604,266,647,0,0
622,256,548,0,736
675,263,576,0,0
789,264,672,2,907
749,261,796,4,909
573,286,614,0,804
666,280,601,0,878
747,264,671,1,901
646,262,588,0,793
627,267,436,0,822
627,290,583,2,923
854,276,719,41,917
625,264,573,0,784
842,265,742,9,913
626,258,561,1,919
762,259,604,3,907
744,388,740,361,965
657,291,612,0,0
701,548,705,191,915
647,259,586,0,696
573,268,533,1,890
610,288,646,5,910
680,265,538,193,908
573,266,523,0,897
691,262,649,2,904
615,267,608,1,899
611,249,520,0,0
808,269,758,13,907
656,256,580,0,0
640,257,542,0,816
600,254,626,0,624
703,262,579,0,0
667,306,685,182,911
588,294,565,0,0
597,262,634,1,907
763,264,725,0,861
794,261,638,4,907
600,254,572,0,0
615,277,533,207,910
595,260,584,1,918
591,291,628,0,862
597,258,514,1,894
877,438,819,179,912
590,260,689,4,922
879,287,829,133,913
589,258,529,0,0
657,260,564,0,0
761,270,704,7,916
588,271,542,0,865
613,256,725,3,908
599,248,450,0,0
663,277,670,187,911
651,265,591,1,907
765,260,631,0,0
645,284,622,190,910
632,270,603,194,912
619,252,556,0,705
640,269,496,201,910
685,267,578,200,909
590,263,612,0,733
796,260,542,3,909
590,259,571,0,0
856,273,728,20,914
660,264,608,0,0
633,273,742,1,911
637,266,505,190,909
627,264,599,0,755
680,258,647,0,0
602,258,597,0,0
629,252,523,0,884
610,251,582,0,749
649,255,501,0,0
664,266,608,4,915
600,241,550,0,0
590,251,560,0,0
660,274,591,196,909
669,264,548,0,885
588,254,586,0,745
592,320,527,0,882
668,269,553,192,909
645,291,560,198,909
811,268,748,9,909
578,254,551,0,902
644,269,692,0,905
585,254,565,0,740
688,265,571,202,909
600,256,570,0,805
649,258,549,0,756
643,286,635,0,828
759,285,773,168,910
695,264,734,1,906
646,263,558,0,721
651,267,925,0,794
688,344,725,203,911
693,280,720,1,897
608,276,522,190,911
625,265,536,4,910
607,277,800,0,885
618,268,665,3,910
571,272,598,0,914
858,269,894,0,757
598,244,678,71,908
719,278,792,3,915
864,272,751,1,907
636,270,775,95,909
674,263,635,0,855
698,264,656,4,911
788,261,540,5,912
660,266,747,95,909
689,267,549,3,909
599,275,588,175,911
791,354,856,26,957
780,261,681,0,0
727,266,646,1,905
664,290,684,188,911
692,254,585,0,0
651,275,633,171,910
575,263,596,0,848
641,252,583,0,779
616,258,418,0,0
821,269,667,7,911
593,258,523,0,0
706,293,547,204,909
586,269,567,0,761
739,260,717,0,836
600,266,618,0,0
617,285,525,185,909
607,250,618,0,0
619,255,561,0,738
584,357,659,7,909
744,259,674,0,856
572,315,700,170,913
818,268,731,22,911
709,265,532,196,909
579,261,532,1,909
650,255,620,2,910
604,258,536,0,0
635,258,653,5,908
844,272,782,6,915
763,266,805,3,911
672,261,605,0,752
585,251,512,2,908
583,312,602,0,0
602,258,549,0,814
592,264,529,1,887
607,274,590,1,921
581,243,523,0,716
611,277,618,0,881
690,267,561,197,909
801,261,541,5,911
770,260,588,6,907
701,273,631,390,911
604,263,580,0,0
620,265,476,1,891
770,276,701,4,908
664,264,676,0,789
608,266,653,4,909
776,283,854,18,913
647,301,671,1,952
748,262,523,1,912
625,265,721,91,909
875,369,889,62,930
661,275,684,0,619
680,263,709,5,907
662,259,509,0,0
741,268,658,4,914
723,258,602,0,740
835,267,697,6,909
626,290,650,184,911
695,256,548,0,784
688,264,552,0,901
627,261,511,1,899
582,313,684,14,940
633,250,665,6,909
649,261,568,0,802
636,260,737,4,905
707,446,705,11,947
685,255,640,0,872
644,275,658,173,911
648,271,626,187,910
643,332,584,0,0
639,260,583,0,877
578,254,579,1,913
742,259,648,0,639
582,252,327,0,890
795,269,665,27,912
652,274,665,0,679
791,261,590,2,907
844,264,682,7,909
615,253,538,0,0
658,285,629,172,909
627,270,542,2,904
713,287,709,7,911
590,251,579,0,870
729,291,875,1,923
776,267,802,12,909
